airline,flightNumber,origin,destination,daysOfWeek,scheduledDepartureTime,scheduledArrivalTime,validFrom,validTo
GoAir,404,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,2020-10-28,2020-11-30
GoAir,404,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,2020-12-01,2021-01-31
GoAir,404,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,15:45,2021-02-01,2021-03-30
GoAir,396,Lucknow,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:00,20:20,2020-10-28,2021-03-30
GoAir,468,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:20,15:30,2020-10-28,2020-11-30
GoAir,345,Kochi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:50,22:00,2020-10-28,2021-03-30
GoAir,586,Patna,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",14:15,17:00,2020-10-28,2021-03-30
GoAir,465,Port Blair,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:55,11:35,2020-10-28,2021-02-28
GoAir,459,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:25,10:40,2020-10-28,2021-03-30
GoAir,368,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:25,2020-10-28,2021-03-30
GoAir,413,Ahmedabad,Mumbai,Saturday,00:35,02:00,2021-03-31,2021-03-31
GoAir,537,Ahmedabad,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:55,21:25,2021-03-31,2021-10-26
GoAir,388,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,2020-10-28,2020-11-30
GoAir,388,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,2020-12-01,2021-01-31
GoAir,388,Jaipur,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:05,2021-02-01,2021-03-30
GoAir,520,Bengaluru,Mumbai,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:40,18:30,2020-10-28,2021-03-30
GoAir,426,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:05,00:05,2020-10-28,2021-03-30
GoAir,418,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:45,07:20,2021-03-31,2021-10-26
GoAir,395,Bengaluru,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:00,2021-03-31,2021-10-26
GoAir,706,Ranchi,Mumbai,Saturday,11:25,13:55,2020-10-28,2020-11-25
GoAir,706,Ranchi,Mumbai,Saturday,11:25,13:55,2020-12-02,2021-01-27
GoAir,706,Ranchi,Mumbai,Saturday,11:25,13:55,2021-02-03,2021-03-24
GoAir,484,Ranchi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:15,22:00,2020-10-28,2021-03-30
GoAir,582,Chandigarh,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:25,13:55,2020-10-29,2020-11-30
GoAir,582,Chandigarh,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:25,13:55,2020-12-01,2021-01-31
GoAir,582,Chandigarh,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",11:25,13:55,2021-02-01,2021-03-30
GoAir,302,Chennai,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:00,06:55,2020-10-28,2021-03-30
GoAir,304,Chennai,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:45,15:40,2020-10-28,2021-03-30
GoAir,478,Goa,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:10,14:35,2020-10-28,2021-03-30
GoAir,287,Srinagar,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30,18:25,2020-10-28,2021-03-30
GoAir,710,Delhi,Leh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:25,08:55,2020-10-28,2021-01-31
GoAir,220,Delhi,Leh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:15,10:55,2021-02-01,2021-03-30
GoAir,205,Jammu,Leh,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:45,10:55,2020-10-28,2021-01-31
GoAir,135,Delhi,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05,07:45,2020-10-28,2020-11-30
GoAir,135,Delhi,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:05,07:45,2021-02-01,2021-03-30
GoAir,149,Delhi,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:10,16:40,2020-10-28,2021-03-30
GoAir,217,Delhi,Patna,"Monday,Wednesday,Thursday,Saturday",17:55,19:35,2020-10-28,2020-11-30
GoAir,737,Bhubaneswar,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:45,22:05,2020-10-28,2021-03-30
GoAir,585,Mumbai,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",11:20,13:45,2020-10-28,2021-03-30
GoAir,272,Bengaluru,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:15,11:50,2020-10-28,2021-03-30
GoAir,373,Bengaluru,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",09:20,11:50,2021-03-31,2021-10-26
GoAir,761,Kolkata,Patna,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:25,14:45,2020-10-28,2021-03-30
GoAir,461,Mumbai,Port Blair,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",04:00,07:25,2020-10-28,2021-02-28
GoAir,802,Bengaluru,Port Blair,Monday,11:45,14:30,2020-10-30,2021-03-26
GoAir,802,Bengaluru,Port Blair,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,14:45,2020-10-28,2021-03-30
GoAir,802,Bengaluru,Port Blair,Monday,11:55,14:30,2021-09-17,2021-10-22
GoAir,802,Bengaluru,Port Blair,Monday,11:55,14:30,2021-04-02,2021-06-11
GoAir,802,Bengaluru,Port Blair,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,14:50,2021-03-31,2021-06-14
GoAir,802,Bengaluru,Port Blair,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",12:10,14:50,2021-09-16,2021-10-26
GoAir,305,Chennai,Port Blair,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:15,10:30,2020-10-28,2021-03-30
GoAir,101,Kolkata,Port Blair,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",08:35,10:55,2020-10-28,2021-03-30
GoAir,635,Ahmedabad,Kannur International Airport,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:20,19:15,2021-03-31,2021-10-26
GoAir,622,Bengaluru,Kannur International Airport,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40,08:40,2021-03-31,2021-10-26
GoAir,551,Hyderabad,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",08:35,10:30,2020-10-29,2021-03-30
GoAir,554,Hyderabad,Ahmedabad,"Sunday,Tuesday,Wednesday,Thursday,Friday,Saturday",18:20,20:05,2020-10-28,2021-03-30
GoAir,719,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",06:00,07:40,2020-10-28,2021-03-30
GoAir,717,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:30,17:05,2020-10-28,2021-03-30
GoAir,713,Delhi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:05,21:45,2020-10-28,2021-03-30
GoAir,805,Lucknow,Ahmedabad,Monday,11:15,13:10,2020-10-30,2021-03-26
GoAir,732,Lucknow,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",15:15,17:00,2020-10-28,2021-03-30
GoAir,702,Kochi,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",13:50,16:30,2020-10-28,2021-03-30
GoAir,365,Mumbai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",07:40,08:55,2020-10-28,2021-03-30
GoAir,569,Mumbai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:25,20:40,2020-10-28,2021-03-30
GoAir,412,Mumbai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",22:40,00:05,2020-10-28,2021-03-30
GoAir,701,Jaipur,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",08:55,10:15,2020-10-29,2021-03-30
GoAir,801,Bengaluru,Ahmedabad,Monday,06:05,08:30,2020-10-30,2021-03-26
GoAir,803,Bengaluru,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",19:00,21:15,2020-10-28,2021-03-30
GoAir,801,Bengaluru,Ahmedabad,Monday,06:30,08:40,2021-04-02,2021-10-22
GoAir,514,Chandigarh,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",10:45,12:45,2020-10-29,2021-03-30
GoAir,912,Chandigarh,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",16:05,17:35,2020-10-29,2021-03-30
GoAir,911,Chennai,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday",07:30,10:00,2020-10-29,2021-03-30
GoAir,911,Chennai,Ahmedabad,Saturday,15:15,17:35,2020-10-28,2021-03-24
GoAir,794,Goa,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",20:30,22:35,2020-10-28,2021-03-30
GoAir,537,Kolkata,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:25,19:25,2020-10-28,2021-03-30
GoAir,430,Hyderabad,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",10:55,12:15,2020-10-28,2021-03-30
GoAir,390,Mumbai,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:45,07:45,2020-12-01,2021-01-31
GoAir,390,Mumbai,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",05:45,07:45,2021-02-01,2021-03-30
GoAir,702,Ahmedabad,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:05,18:45,2020-10-28,2021-03-30
GoAir,702,Ahmedabad,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",17:10,18:30,2021-03-31,2021-10-26
GoAir,383,Chennai,Jaipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",16:40,17:25,2020-10-28,2021-03-30
